"","Date","Crime","Atamelang"
"241","Jan-Mar 2018","ResidentialPremisisRobbery",0
"242","Apr-Jun 2018","ResidentialPremisisRobbery",1
"243","Jul-Sep 2018","ResidentialPremisisRobbery",0
"244","Oct-Dec 2018","ResidentialPremisisRobbery",3
"245","Jan-Mar 2019","ResidentialPremisisRobbery",1
"246","Apr-Jun 2019","ResidentialPremisisRobbery",2
"247","Jul-Sep 2019","ResidentialPremisisRobbery",3
"248","Oct-Dec 2019","ResidentialPremisisRobbery",2
"249","Jan-Mar 2020","ResidentialPremisisRobbery",1
"250","Apr-Jun 2020","ResidentialPremisisRobbery",1
"251","Jul-Sep 2020","ResidentialPremisisRobbery",2
"252","Oct-Dec 2020","ResidentialPremisisRobbery",1
"253","Jan-Mar 2021","ResidentialPremisisRobbery",0
"254","Apr-Jun 2021","ResidentialPremisisRobbery",0
"255","Jul-Sep 2021","ResidentialPremisisRobbery",1
"256","Oct-Dec 2021","ResidentialPremisisRobbery",0
"257","Jan-Mar 2022","ResidentialPremisisRobbery",0
"258","Apr-Jun 2022","ResidentialPremisisRobbery",3
"259","Jul-Sep 2022","ResidentialPremisisRobbery",3
"260","Oct-Dec 2022","ResidentialPremisisRobbery",2
"261","Jan-Mar 2018","NonResidentialPremisisRobbery",4
"262","Apr-Jun 2018","NonResidentialPremisisRobbery",5
"263","Jul-Sep 2018","NonResidentialPremisisRobbery",10
"264","Oct-Dec 2018","NonResidentialPremisisRobbery",6
"265","Jan-Mar 2019","NonResidentialPremisisRobbery",6
"266","Apr-Jun 2019","NonResidentialPremisisRobbery",1
"267","Jul-Sep 2019","NonResidentialPremisisRobbery",3
"268","Oct-Dec 2019","NonResidentialPremisisRobbery",5
"269","Jan-Mar 2020","NonResidentialPremisisRobbery",0
"270","Apr-Jun 2020","NonResidentialPremisisRobbery",2
"271","Jul-Sep 2020","NonResidentialPremisisRobbery",5
"272","Oct-Dec 2020","NonResidentialPremisisRobbery",1
"273","Jan-Mar 2021","NonResidentialPremisisRobbery",3
"274","Apr-Jun 2021","NonResidentialPremisisRobbery",4
"275","Jul-Sep 2021","NonResidentialPremisisRobbery",2
"276","Oct-Dec 2021","NonResidentialPremisisRobbery",3
"277","Jan-Mar 2022","NonResidentialPremisisRobbery",6
"278","Apr-Jun 2022","NonResidentialPremisisRobbery",4
"279","Jul-Sep 2022","NonResidentialPremisisRobbery",4
"280","Oct-Dec 2022","NonResidentialPremisisRobbery",8
"281","Jan-Mar 2018","CashInTansit",0
"282","Apr-Jun 2018","CashInTansit",0
"283","Jul-Sep 2018","CashInTansit",0
"284","Oct-Dec 2018","CashInTansit",0
"285","Jan-Mar 2019","CashInTansit",0
"286","Apr-Jun 2019","CashInTansit",0
"287","Jul-Sep 2019","CashInTansit",0
"288","Oct-Dec 2019","CashInTansit",0
"289","Jan-Mar 2020","CashInTansit",0
"290","Apr-Jun 2020","CashInTansit",0
"291","Jul-Sep 2020","CashInTansit",0
"292","Oct-Dec 2020","CashInTansit",0
"293","Jan-Mar 2021","CashInTansit",0
"294","Apr-Jun 2021","CashInTansit",0
"295","Jul-Sep 2021","CashInTansit",0
"296","Oct-Dec 2021","CashInTansit",0
"297","Jan-Mar 2022","CashInTansit",0
