"","Date","Crime","Assen"
"331","Jul-Sep 2020","Truckhijacking",0
"332","Oct-Dec 2020","Truckhijacking",0
"333","Jan-Mar 2021","Truckhijacking",1
"334","Apr-Jun 2021","Truckhijacking",0
"335","Jul-Sep 2021","Truckhijacking",0
"336","Oct-Dec 2021","Truckhijacking",0
"337","Jan-Mar 2022","Truckhijacking",0
"338","Apr-Jun 2022","Truckhijacking",0
"339","Jul-Sep 2022","Truckhijacking",0
"340","Oct-Dec 2022","Truckhijacking",0
"341","Jan-Mar 2018","Arson",0
"342","Apr-Jun 2018","Arson",0
"343","Jul-Sep 2018","Arson",0
"344","Oct-Dec 2018","Arson",0
"345","Jan-Mar 2019","Arson",0
"346","Apr-Jun 2019","Arson",0
"347","Jul-Sep 2019","Arson",0
"348","Oct-Dec 2019","Arson",0
"349","Jan-Mar 2020","Arson",0
"350","Apr-Jun 2020","Arson",0
"351","Jul-Sep 2020","Arson",0
"352","Oct-Dec 2020","Arson",0
"353","Jan-Mar 2021","Arson",0
"354","Apr-Jun 2021","Arson",0
"355","Jul-Sep 2021","Arson",1
"356","Oct-Dec 2021","Arson",0
"357","Jan-Mar 2022","Arson",0
"358","Apr-Jun 2022","Arson",0
"359","Jul-Sep 2022","Arson",0
"360","Oct-Dec 2022","Arson",0
"361","Jan-Mar 2018","MaliciousPropertyDamage",1
"362","Apr-Jun 2018","MaliciousPropertyDamage",4
"363","Jul-Sep 2018","MaliciousPropertyDamage",0
"364","Oct-Dec 2018","MaliciousPropertyDamage",0
"365","Jan-Mar 2019","MaliciousPropertyDamage",1
"366","Apr-Jun 2019","MaliciousPropertyDamage",0
"367","Jul-Sep 2019","MaliciousPropertyDamage",0
"368","Oct-Dec 2019","MaliciousPropertyDamage",1
"369","Jan-Mar 2020","MaliciousPropertyDamage",1
"370","Apr-Jun 2020","MaliciousPropertyDamage",0
"371","Jul-Sep 2020","MaliciousPropertyDamage",0
"372","Oct-Dec 2020","MaliciousPropertyDamage",1
"373","Jan-Mar 2021","MaliciousPropertyDamage",2
"374","Apr-Jun 2021","MaliciousPropertyDamage",2
"375","Jul-Sep 2021","MaliciousPropertyDamage",1
"376","Oct-Dec 2021","MaliciousPropertyDamage",1
"377","Jan-Mar 2022","MaliciousPropertyDamage",0
"378","Apr-Jun 2022","MaliciousPropertyDamage",1
"379","Jul-Sep 2022","MaliciousPropertyDamage",1
"380","Oct-Dec 2022","MaliciousPropertyDamage",0
"381","Jan-Mar 2018","NonResidenceBurglery",6
"382","Apr-Jun 2018","NonResidenceBurglery",5
"383","Jul-Sep 2018","NonResidenceBurglery",4
"384","Oct-Dec 2018","NonResidenceBurglery",7
"385","Jan-Mar 2019","NonResidenceBurglery",0
"386","Apr-Jun 2019","NonResidenceBurglery",2
"387","Jul-Sep 2019","NonResidenceBurglery",0
"388","Oct-Dec 2019","NonResidenceBurglery",1
"389","Jan-Mar 2020","NonResidenceBurglery",0
"390","Apr-Jun 2020","NonResidenceBurglery",0
"391","Jul-Sep 2020","NonResidenceBurglery",2
"392","Oct-Dec 2020","NonResidenceBurglery",2
"393","Jan-Mar 2021","NonResidenceBurglery",0
"394","Apr-Jun 2021","NonResidenceBurglery",1
"395","Jul-Sep 2021","NonResidenceBurglery",1
"396","Oct-Dec 2021","NonResidenceBurglery",1
"397","Jan-Mar 2022","NonResidenceBurglery",0
"398","Apr-Jun 2022","NonResidenceBurglery",3
"399","Jul-Sep 2022","NonResidenceBurglery",0
"400","Oct-Dec 2022","NonResidenceBurglery",1
"401","Jan-Mar 2018","ResidencialBurglery",7
"402","Apr-Jun 2018","ResidencialBurglery",10
"403","Jul-Sep 2018","ResidencialBurglery",5
"404","Oct-Dec 2018","ResidencialBurglery",7
"405","Jan-Mar 2019","ResidencialBurglery",4
"406","Apr-Jun 2019","ResidencialBurglery",5
"407","Jul-Sep 2019","ResidencialBurglery",9
"408","Oct-Dec 2019","ResidencialBurglery",3
"409","Jan-Mar 2020","ResidencialBurglery",2
"410","Apr-Jun 2020","ResidencialBurglery",4
"411","Jul-Sep 2020","ResidencialBurglery",8
"412","Oct-Dec 2020","ResidencialBurglery",13
"413","Jan-Mar 2021","ResidencialBurglery",5
"414","Apr-Jun 2021","ResidencialBurglery",5
"415","Jul-Sep 2021","ResidencialBurglery",6
"416","Oct-Dec 2021","ResidencialBurglery",8
"417","Jan-Mar 2022","ResidencialBurglery",11
"418","Apr-Jun 2022","ResidencialBurglery",5
"419","Jul-Sep 2022","ResidencialBurglery",11
"420","Oct-Dec 2022","ResidencialBurglery",10
"421","Jan-Mar 2018","MotorTheft",0
"422","Apr-Jun 2018","MotorTheft",1
"423","Jul-Sep 2018","MotorTheft",1
"424","Oct-Dec 2018","MotorTheft",1
"425","Jan-Mar 2019","MotorTheft",0
"426","Apr-Jun 2019","MotorTheft",0
"427","Jul-Sep 2019","MotorTheft",0
"428","Oct-Dec 2019","MotorTheft",1
"429","Jan-Mar 2020","MotorTheft",1
"430","Apr-Jun 2020","MotorTheft",0
"431","Jul-Sep 2020","MotorTheft",0
"432","Oct-Dec 2020","MotorTheft",0
"433","Jan-Mar 2021","MotorTheft",0
"434","Apr-Jun 2021","MotorTheft",1
"435","Jul-Sep 2021","MotorTheft",1
"436","Oct-Dec 2021","MotorTheft",1
"437","Jan-Mar 2022","MotorTheft",0
"438","Apr-Jun 2022","MotorTheft",0
"439","Jul-Sep 2022","MotorTheft",0
"440","Oct-Dec 2022","MotorTheft",0
"441","Jan-Mar 2018","MotorGoodsTheft",3
"442","Apr-Jun 2018","MotorGoodsTheft",6
"443","Jul-Sep 2018","MotorGoodsTheft",0
"444","Oct-Dec 2018","MotorGoodsTheft",2
"445","Jan-Mar 2019","MotorGoodsTheft",2
"446","Apr-Jun 2019","MotorGoodsTheft",2
"447","Jul-Sep 2019","MotorGoodsTheft",5
"448","Oct-Dec 2019","MotorGoodsTheft",1
"449","Jan-Mar 2020","MotorGoodsTheft",3
"450","Apr-Jun 2020","MotorGoodsTheft",0
"451","Jul-Sep 2020","MotorGoodsTheft",1
"452","Oct-Dec 2020","MotorGoodsTheft",1
"453","Jan-Mar 2021","MotorGoodsTheft",0
"454","Apr-Jun 2021","MotorGoodsTheft",1
"455","Jul-Sep 2021","MotorGoodsTheft",0
"456","Oct-Dec 2021","MotorGoodsTheft",2
"457","Jan-Mar 2022","MotorGoodsTheft",2
"458","Apr-Jun 2022","MotorGoodsTheft",0
"459","Jul-Sep 2022","MotorGoodsTheft",1
"460","Oct-Dec 2022","MotorGoodsTheft",2
"461","Jan-Mar 2018","StockTheft",5
"462","Apr-Jun 2018","StockTheft",6
"463","Jul-Sep 2018","StockTheft",1
"464","Oct-Dec 2018","StockTheft",2
